accessories,android,apparel,backpacks,bags,bottles,drinkware,fun,gift cards,google,headgear,housewares,lifestyle,more bags,nest,nest-canada,nest-usa,notebooks & journals,office,waze
51.57,74.24000000000001,38300.87,268.19,10903.630000000001,587.3,14599.09,229.95999999999998,283.69,692.4399999999999,2060.04,929.48,5563.3099999999995,1379.1599999999999,0.0,9591.11,284362.08,5998.74,27309.5,440.18
0.0,19.99,37990.09,559.9399999999999,17969.55,372.93,14334.22,328.98,400.0,1213.61,4572.48,107.49,6723.54,393.61999999999995,0.0,3968.0,196182.19,4475.87,20994.91,212.39
59.99,115.92999999999999,59059.02,639.93,14045.65,524.98,21228.2,645.33,375.0,2130.35,3121.39,483.5,6627.83,505.75,0.0,7614.0,199700.0,4132.04,27783.12,816.08
166.96,39.98,88138.14,1015.04,11385.03,489.00000000000006,27090.43,2412.89,725.0,994.52,12194.599999999999,87.0,8804.81,351.8,0.0,5621.0,182193.0,22772.31,36507.38,629.53
141.14,91.95,58850.9,1371.76,9962.99,1076.8400000000001,16424.25,693.96,1325.0,1424.29,3024.86,499.0,5751.76,316.63,0.0,3786.0,173534.0,5942.88,23022.42,522.79
207.73000000000002,171.9,45941.01,298.36,12867.37,564.95,17622.04,596.82,1200.0,1104.4499999999998,1305.41,356.5,6091.38,0.0,0.0,9257.0,195413.0,4865.33,22718.12,500.01
1862.3600000000001,115.91,65356.0,719.92,11933.01,1023.46,12000.88,767.6,500.0,1636.96,2048.65,1273.1,9430.19,0.0,0.0,7760.0,208991.0,23151.82,23880.56,186.65
322.65999999999997,81.13,53304.78,1339.85,16271.6,333.87,22401.26,200.64000000000001,750.0,223.85,21408.260000000002,887.25,7301.4,0.0,20696.0,4950.0,196546.0,27119.71,26510.79,561.32
1271.24,0.0,55663.53,619.93,9255.85,1532.0700000000002,18520.68,131.23000000000002,600.0,0.0,1148.8799999999999,14.0,7032.31,0.0,70252.0,3449.0,169036.0,7635.91,14090.26,295.51
805.19,0.0,21718.72,1579.81,14436.38,418.25,19452.83,21.6,12575.0,0.0,786.7299999999999,0.0,7199.72,0.0,107145.98,4836.0,204951.0,25.990000000000002,13256.98,471.1
1691.57,0.0,18585.8,359.96,12905.98,0.0,6951.31,0.0,0.0,0.0,520.5,0.0,1957.86,0.0,174745.0,4787.0,263104.0,0.0,22294.8,1038.84
715.47,0.0,48236.94,0.0,9377.39,0.0,10082.64,0.0,800.13,0.0,1279.64,0.0,1901.59,0.0,145354.52,5291.29,280190.12,965.36,18425.559999999998,637.54
